TIME_STAMP,BATCH_CODE,OPERATOR,WIDTH_1,GRADE_1,WIDTH_2,GRADE_2
"""07-14-2006 03:37:07 PM""","""280917CTC""","""AR""",23.364,"""NA""",23.452,"""C"""
"""09-28-2017 03:37:13 PM""","""280917CTC""","""AR""",23.696,"""NA""",23.749,"""NA"""
"""09-28-2017 04:25:30 PM""","""280917CTC""","""AR""",23.696,"""NA""",23.749,"""NA"""
"""09-28-2017 05:08:14 PM""","""280917CTC""","""AR""",23.696,"""NA""",23.749,"""NA"""
"""09-28-2017 05:08:28 PM""","""280917CTC""","""AR""",23.696,"""NA""",23.749,"""NA"""
"""09-28-2017 05:08:42 PM""","""280917CTC""","""AR""",23.696,"""NA""",23.749,"""NA"""
"""09-28-2017 05:08:57 PM""","""280917CTC""","""AR""",23.696,"""NA""",23.749,"""NA"""
"""09-28-2017 05:09:11 PM""","""280917CTC""","""AR""",23.696,"""NA""",23.749,"""NA"""
"""09-28-2017 05:09:26 PM""","""280917CTC""","""AR""",23.696,"""NA""",23.749,"""NA"""
"""09-28-2017 05:09:26 PM""","""280917CTC""","""AR""",23.696,"""NA""",23.749,"""NA"""
"""09-28-2017 05:09:26 PM""","""280917CTC""","""AR""",23.696,"""NA""",23.749,"""NA"""
"""04-10-2017 10:26:49 AM""","""ctc""","""ar""",23.452,"""C""",23.485,"""NA"""
"""04-10-2017 10:38:29 AM""","""ctc""","""ar""",23.387,"""NA""",23.421,"""B"""
"""04-10-2017 11:20:27 AM""","""ctc""","""ar""",23.386,"""NA""",23.421,"""B"""
"""04-10-2017 11:22:51 AM""","""ctc""","""ar""",23.432,"""B""",23.475,"""NA"""
"""04-10-2017 11:32:09 AM""","""ctc""","""ar""",23.386,"""NA""",23.421,"""B"""
"""04-10-2017 12:41:53 PM""","""ctc""","""ar""",23.386,"""NA""",23.422,"""B"""
"""04-10-2017 01:31:38 PM""","""ctc""","""ar""",23.432,"""B""",23.475,"""NA"""
"""04-10-2017 05:26:14 PM""","""ctc""","""ar""",23.415,"""A""",23.469,"""C"""
"""04-10-2017 05:46:01 PM""","""ctc""","""ar""",23.421,"""B""",23.405,"""A"""
"""05-10-2017 11:14:48 AM""","""ctc""","""abcd""",23.408,"""A""",23.312,"""NA"""
"""05-10-2017 11:46:44 AM""","""ctc""","""05102017""",23.393,"""A""",23.444,"""C"""
"""05-10-2017 11:51:28 AM""","""ctc""","""05102017""",23.372,"""NA""",23.403,"""A"""
"""05-10-2017 11:53:53 AM""","""ctc""","""vinayaga""",23.425,"""B""",23.417,"""B"""
"""05-10-2017 11:57:46 AM""","""ctc""","""ganesha""",23.371,"""NA""",23.405,"""A"""
"""07-14-2006 11:59:10 AM""","""ctc""","""ganesha""",23.411,"""A""",23.429,"""B"""
"""05-10-2017 12:05:30 PM""","""ganesha""","""05102017""",23.457,"""C""",23.493,"""NA"""
"""05-10-2017 12:06:46 PM""","""ganesha""","""05102017""",23.359,"""NA""",23.404,"""A"""
"""05-10-2017 12:11:24 PM""","""ganesha""","""05102017""",23.428,"""B""",23.403,"""A"""
